,date,open,close,high,low,volume,code
2285,2019-06-11,755.647,790.537,795.257,754.647,80106.0,600519
2286,2019-06-12,785.867,786.347,790.637,773.647,37747.0,600519
2287,2019-06-13,789.647,789.647,791.947,776.647,32917.0,600519
2288,2019-06-14,790.647,792.647,811.947,789.667,42455.0,600519
2289,2019-06-17,786.647,791.247,806.587,785.667,32769.0,600519
2290,2019-06-18,796.647,796.647,799.647,782.247,29441.0,600519
2291,2019-06-19,819.647,811.657,826.347,811.657,53726.0,600519
2292,2019-06-20,812.147,854.647,855.147,811.847,67271.0,600519
2293,2019-06-21,849.617,855.947,864.137,844.147,45926.0,600519
2294,2019-06-24,857.947,866.747,879.337,854.647,45779.0,600519
2295,2019-06-25,871.647,862.627,878.647,846.647,51295.0,600519
2296,2019-06-26,864.647,859.507,864.647,850.867,29588.0,600519
2297,2019-06-27,864.647,875.997,880.647,860.767,47978.0,600519
2298,2019-06-28,880.176,878.186,883.066,865.516,31088.0,600519
2299,2019-07-01,898.706,926.046,929.786,894.406,52337.0,600519
2300,2019-07-02,919.186,919.186,923.686,910.186,39061.0,600519
2301,2019-07-03,914.186,882.086,917.186,875.686,67139.0,600519
2302,2019-07-04,879.986,875.386,884.986,865.406,46216.0,600519
2303,2019-07-05,880.186,894.006,900.186,870.486,50032.0,600519
2304,2019-07-08,889.236,879.046,892.086,869.186,33613.0,600519
2305,2019-07-09,873.486,870.246,883.186,862.536,31723.0,600519
2306,2019-07-10,875.116,876.706,884.766,871.186,28166.0,600519
2307,2019-07-11,884.146,875.686,892.566,870.186,30514.0,600519
2308,2019-07-12,875.486,880.276,885.686,874.196,28173.0,600519
2309,2019-07-15,861.986,870.116,874.286,845.316,59870.0,600519
2310,2019-07-16,869.636,862.186,876.486,859.186,33245.0,600519
2311,2019-07-17,862.186,857.686,867.176,856.316,25468.0,600519
2312,2019-07-18,855.686,841.686,857.186,841.366,39252.0,600519
2313,2019-07-19,849.186,850.056,854.986,842.186,28014.0,600519
2314,2019-07-22,854.186,851.206,858.186,844.436,28125.0,600519
2315,2019-07-23,856.486,848.166,856.776,838.046,32483.0,600519
2316,2019-07-24,852.496,840.546,854.086,838.876,46771.0,600519
2317,2019-07-25,840.156,857.186,857.546,832.336,38255.0,600519
2318,2019-07-26,856.156,859.216,865.186,852.736,26467.0,600519
2319,2019-07-29,856.216,870.596,873.686,854.196,26981.0,600519
2320,2019-07-30,870.686,873.116,877.186,865.186,19537.0,600519
2321,2019-07-31,869.186,866.786,875.956,860.776,22526.0,600519
2322,2019-08-01,870.696,853.486,871.186,847.206,35089.0,600519
2323,2019-08-02,838.186,848.636,852.166,837.186,39719.0,600519
2324,2019-08-05,839.186,836.616,848.186,834.186,36774.0,600519
2325,2019-08-06,825.186,840.486,842.186,817.986,43991.0,600519
2326,2019-08-07,843.686,839.186,849.716,839.186,26869.0,600519
2327,2019-08-08,847.686,865.866,868.186,846.186,38808.0,600519
2328,2019-08-09,872.686,856.216,875.136,853.176,28461.0,600519
2329,2019-08-12,904.496,912.816,914.286,889.196,81498.0,600519
2330,2019-08-13,910.346,912.136,920.186,904.866,30329.0,600519
2331,2019-08-14,924.206,937.516,946.086,924.206,41410.0,600519
2332,2019-08-15,922.186,939.086,940.666,922.186,27237.0,600519
2333,2019-08-16,944.026,948.786,969.766,935.186,36086.0,600519
2334,2019-08-19,955.186,950.066,964.166,943.236,32867.0,600519
2335,2019-08-20,949.186,964.186,967.866,944.186,28602.0,600519
2336,2019-08-21,964.286,960.186,971.156,955.846,25066.0,600519
2337,2019-08-22,967.176,998.186,998.186,964.186,37590.0,600519
2338,2019-08-23,999.186,1024.286,1027.746,989.806,40192.0,600519
2339,2019-08-26,1007.186,997.136,1022.186,990.866,48497.0,600519
2340,2019-08-27,1011.186,1003.186,1025.496,1003.186,52164.0,600519
2341,2019-08-28,1003.186,994.296,1017.376,977.196,47009.0,600519
2342,2019-08-29,999.186,1007.286,1012.366,986.686,29330.0,600519
2343,2019-08-30,1019.186,1036.186,1040.186,1017.186,44890.0,600519
2344,2019-09-02,1034.176,1032.946,1039.166,1023.186,28234.0,600519
2345,2019-09-03,1034.186,1034.186,1045.206,1022.746,29485.0,600519
2346,2019-09-04,1034.986,1019.196,1037.096,1014.296,33600.0,600519
2347,2019-09-05,1023.186,1038.186,1039.086,1022.186,32930.0,600519
2348,2019-09-06,1038.686,1036.676,1040.336,1025.186,26176.0,600519
2349,2019-09-09,1039.186,1030.706,1042.186,1029.186,29379.0,600519
2350,2019-09-10,1028.486,1018.036,1029.186,1014.196,26227.0,600519
2351,2019-09-11,1013.406,963.706,1014.156,962.186,81716.0,600519
2352,2019-09-12,960.186,993.186,1004.166,960.186,41211.0,600519
2353,2019-09-16,977.186,993.186,998.136,977.186,31371.0,600519
2354,2019-09-17,988.186,988.196,1000.846,981.186,25196.0,600519
2355,2019-09-18,1002.686,1043.086,1044.186,1002.366,69314.0,600519
2356,2019-09-19,1042.186,1039.186,1044.186,1031.286,24479.0,600519
2357,2019-09-20,1045.186,1051.606,1054.186,1041.776,37626.0,600519
2358,2019-09-23,1051.186,1043.186,1051.186,1025.186,30026.0,600519
2359,2019-09-24,1049.186,1078.186,1079.086,1046.186,36269.0,600519
2360,2019-09-25,1074.186,1068.186,1083.056,1064.686,24024.0,600519
2361,2019-09-26,1069.126,1061.186,1077.536,1052.996,26081.0,600519
2362,2019-09-27,1058.186,1068.936,1077.186,1047.186,22826.0,600519
2363,2019-09-30,1057.186,1044.186,1063.616,1044.186,30825.0,600519
2364,2019-10-08,1047.186,1061.286,1074.186,1046.196,31045.0,600519
2365,2019-10-09,1060.386,1040.996,1060.386,1029.236,35788.0,600519
2366,2019-10-10,1021.186,1049.186,1053.116,1003.206,41173.0,600519
2367,2019-10-11,1051.186,1068.786,1069.186,1046.396,28689.0,600519
2368,2019-10-14,1080.186,1074.186,1081.846,1064.186,27187.0,600519
2369,2019-10-15,1074.186,1105.186,1109.866,1071.216,40034.0,600519
2370,2019-10-16,1062.186,1064.186,1081.686,1054.186,59150.0,600519
2371,2019-10-17,1070.186,1077.516,1080.846,1056.686,30508.0,600519
2372,2019-10-18,1073.186,1069.976,1084.176,1065.876,28291.0,600519
2373,2019-10-21,1066.046,1062.686,1073.086,1057.486,25274.0,600519
2374,2019-10-22,1072.186,1064.986,1075.686,1058.076,19309.0,600519
2375,2019-10-23,1062.186,1053.096,1072.186,1050.296,23080.0,600519
2376,2019-10-24,1059.136,1044.456,1060.186,1041.346,26178.0,600519
2377,2019-10-25,1047.486,1065.536,1066.686,1037.216,25998.0,600519
2378,2019-10-28,1060.196,1072.476,1075.196,1059.186,22485.0,600519
2379,2019-10-29,1075.296,1087.186,1094.146,1071.956,27803.0,600519
2380,2019-10-30,1084.186,1077.986,1086.886,1070.186,21254.0,600519
2381,2019-10-31,1090.186,1074.196,1092.186,1070.336,25909.0,600519
2382,2019-11-01,1075.186,1079.186,1086.136,1066.686,22811.0,600519
2383,2019-11-04,1084.186,1093.776,1104.176,1083.186,26737.0,600519
2384,2019-11-05,1093.686,1093.186,1099.186,1086.186,22254.0,600519
2385,2019-11-06,1091.186,1087.186,1098.186,1083.066,19737.0,600519
2386,2019-11-07,1090.696,1095.556,1096.066,1083.186,16167.0,600519
2387,2019-11-08,1099.186,1099.186,1109.836,1095.696,24512.0,600519
2388,2019-11-11,1095.686,1093.186,1100.386,1087.696,17342.0,600519
2389,2019-11-12,1098.186,1095.786,1103.786,1092.396,19150.0,600519
2390,2019-11-13,1101.186,1118.186,1121.986,1094.186,31977.0,600519
2391,2019-11-14,1121.186,1124.186,1134.186,1116.186,23521.0,600519
2392,2019-11-15,1124.186,1119.086,1127.096,1115.686,16340.0,600519
2393,2019-11-18,1119.306,1121.466,1123.636,1112.186,18037.0,600519
2394,2019-11-19,1122.186,1126.506,1135.796,1119.206,20623.0,600519
2395,2019-11-20,1124.186,1127.936,1133.696,1122.246,15280.0,600519
2396,2019-11-21,1125.186,1125.486,1129.696,1115.246,19187.0,600519
2397,2019-11-22,1117.186,1088.186,1123.186,1079.186,47054.0,600519
2398,2019-11-25,1082.236,1076.246,1088.186,1066.246,38281.0,600519
2399,2019-11-26,1080.866,1079.186,1092.786,1077.186,40239.0,600519
2400,2019-11-27,1086.986,1084.136,1090.806,1078.696,19848.0,600519
2401,2019-11-28,1089.156,1069.986,1091.696,1063.206,28844.0,600519
2402,2019-11-29,1059.686,1023.186,1059.686,1007.076,82397.0,600519
2403,2019-12-02,1012.386,1027.186,1034.206,1012.386,30784.0,600519
2404,2019-12-03,1027.186,1012.186,1027.186,1011.926,27340.0,600519
2405,2019-12-04,1034.186,1016.516,1038.846,1012.186,35283.0,600519
2406,2019-12-05,1019.186,1023.986,1026.196,1012.186,21338.0,600519
2407,2019-12-06,1030.156,1064.186,1064.186,1024.286,39506.0,600519
2408,2019-12-09,1069.186,1052.886,1070.186,1050.286,21824.0,600519
2409,2019-12-10,1053.786,1058.586,1059.186,1045.186,15086.0,600519
2410,2019-12-11,1062.186,1053.166,1064.936,1049.736,14567.0,600519
2411,2019-12-12,1050.186,1031.186,1054.126,1024.266,29409.0,600519
2412,2019-12-13,1040.186,1057.186,1059.186,1040.186,30000.0,600519
2413,2019-12-16,1057.186,1042.106,1057.186,1032.126,30936.0,600519
2414,2019-12-17,1043.886,1064.166,1067.786,1037.216,42616.0,600519
2415,2019-12-18,1068.186,1062.186,1069.386,1058.186,19640.0,600519
2416,2019-12-19,1057.186,1051.586,1057.186,1046.186,19552.0,600519
2417,2019-12-20,1056.366,1040.486,1056.366,1035.686,23563.0,600519
2418,2019-12-23,1033.186,1043.486,1056.686,1030.186,25919.0,600519
2419,2019-12-24,1047.186,1042.186,1049.186,1039.186,11823.0,600519
2420,2019-12-25,1037.186,1027.886,1037.186,1024.196,24305.0,600519
2421,2019-12-26,1026.186,1029.286,1036.166,1014.176,22877.0,600519
2422,2019-12-27,1044.186,1057.186,1066.186,1044.186,47066.0,600519
2423,2019-12-30,1064.386,1079.986,1089.686,1064.386,40760.0,600519
2424,2019-12-31,1077.186,1077.186,1082.186,1070.696,22588.0,600519
2425,2020-01-02,1022.186,1024.186,1039.246,1010.186,148099.0,600519
2426,2020-01-03,1011.186,972.746,1011.186,971.086,130318.0,600519
2427,2020-01-06,965.046,972.176,987.086,961.486,63414.0,600519
2428,2020-01-07,971.686,988.716,993.186,970.586,47853.0,600519
2429,2020-01-08,979.236,982.326,989.686,976.766,25008.0,600519
2430,2020-01-09,988.186,996.886,999.576,984.186,37405.0,600519
2431,2020-01-10,1003.186,1006.686,1010.176,996.686,35975.0,600519
2432,2020-01-13,1006.686,1018.456,1023.386,1006.186,38515.0,600519
2433,2020-01-14,1018.386,1001.586,1019.076,997.186,35144.0,600519
2434,2020-01-15,1003.196,1006.316,1015.786,999.186,26029.0,600519
2435,2020-01-16,1013.056,1001.186,1013.056,996.766,23191.0,600519
2436,2020-01-17,1004.186,1001.686,1006.966,995.196,23472.0,600519
2437,2020-01-20,1006.046,985.186,1006.046,976.186,35391.0,600519
2438,2020-01-21,975.186,969.486,981.186,966.486,32874.0,600519
2439,2020-01-22,964.186,969.696,978.186,949.566,36200.0,600519
2440,2020-01-23,970.186,946.986,970.186,931.186,53468.0,600519
2441,2020-02-03,879.186,898.106,904.866,874.186,123442.0,600519
2442,2020-02-04,909.186,932.196,951.186,905.196,62624.0,600519
